"","gutenberg_id","text"
"133",5230,"him--over the lower part of his face, so that his mouth and jaws"
"134",5230,"were completely hidden, and that was the reason of his muffled"
"135",5230,"voice. But it was not that which startled Mrs. Hall. It was the fact"
"136",5230,"that all his forehead above his blue glasses was covered by a white"
"137",5230,"bandage, and that another covered his ears, leaving not a scrap of"
"138",5230,"his face exposed excepting only his pink, peaked nose. It was bright,"
"139",5230,"pink, and shiny just as it had been at first. He wore a dark-brown"
"140",5230,"velvet jacket with a high, black, linen-lined collar turned up about"
"141",5230,"his neck. The thick black hair, escaping as it could below and"
"142",5230,"between the cross bandages, projected in curious tails and horns,"
"143",5230,"giving him the strangest appearance conceivable. This muffled and"
"144",5230,"bandaged head was so unlike what she had anticipated, that for a"
"145",5230,"moment she was rigid."
"146",5230,""
"147",5230,"He did not remove the serviette, but remained holding it, as she"
"148",5230,"saw now, with a brown gloved hand, and regarding her with his"
"149",5230,"inscrutable blue glasses. ""Leave the hat,"" he said, speaking very"
"150",5230,"distinctly through the white cloth."
"151",5230,""
"152",5230,"Her nerves began to recover from the shock they had received. She"
"153",5230,"placed the hat on the chair again by the fire. ""I didn't know, sir,"""
"154",5230,"she began, ""that--"" and she stopped embarrassed."
"155",5230,""
"156",5230,"""Thank you,"" he said drily, glancing from her to the door and then"
"157",5230,"at her again."
"158",5230,""
"159",5230,"""I'll have them nicely dried, sir, at once,"" she said, and carried"
"160",5230,"his clothes out of the room. She glanced at his white-swathed head"
"161",5230,"and blue goggles again as she was going out of the door; but his"
"162",5230,"napkin was still in front of his face. She shivered a little as she"
"163",5230,"closed the door behind her, and her face was eloquent of her surprise"
"164",5230,"and perplexity. ""I _never_,"" she whispered. ""There!"" She went quite"
"165",5230,"softly to the kitchen, and was too preoccupied to ask Millie what"
"166",5230,"she was messing about with _now_, when she got there."
"167",5230,""
"168",5230,"The visitor sat and listened to her retreating feet. He glanced"
"169",5230,"inquiringly at the window before he removed his serviette, and"
"170",5230,"resumed his meal. He took a mouthful, glanced suspiciously at the"
"171",5230,"window, took another mouthful, then rose and, taking the serviette"
"172",5230,"in his hand, walked across the room and pulled the blind down to"
"173",5230,"the top of the white muslin that obscured the lower panes. This"
"174",5230,"left the room in a twilight. This done, he returned with an easier"
"175",5230,"air to the table and his meal."
"176",5230,""
"177",5230,"""The poor soul's had an accident or an op'ration or somethin',"" said"
"178",5230,"Mrs. Hall. ""What a turn them bandages did give me, to be sure!"""
"179",5230,""
"180",5230,"She put on some more coal, unfolded the clothes-horse, and extended"
"181",5230,"the traveller's coat upon this. ""And they goggles! Why, he looked"
"182",5230,"more like a divin' helmet than a human man!"" She hung his muffler"
"183",5230,"on a corner of the horse. ""And holding that handkerchief over his"
"184",5230,"mouth all the time. Talkin' through it! ... Perhaps his mouth was"
"185",5230,"hurt too--maybe."""
"186",5230,""
"187",5230,"She turned round, as one who suddenly remembers. ""Bless my soul"
"188",5230,"alive!"" she said, going off at a tangent; ""ain't you done them"
"189",5230,"taters _yet_, Millie?"""
"190",5230,""
"191",5230,"When Mrs. Hall went to clear away the stranger's lunch, her idea"
"192",5230,"that his mouth must also have been cut or disfigured in the accident"
"193",5230,"she supposed him to have suffered, was confirmed, for he was smoking"
"194",5230,"a pipe, and all the time that she was in the room he never loosened"
"195",5230,"the silk muffler he had wrapped round the lower part of his face to"
"196",5230,"put the mouthpiece to his lips. Yet it was not forgetfulness, for"
"197",5230,"she saw he glanced at it as it smouldered out. He sat in the corner"
"198",5230,"with his back to the window-blind and spoke now, having eaten and"
"199",5230,"drunk and being comfortably warmed through, with less aggressive"
"200",5230,"brevity than before. The reflection of the fire lent a kind of red"
"201",5230,"animation to his big spectacles they had lacked hitherto."
"202",5230,""
"203",5230,"""I have some luggage,"" he said, ""at Bramblehurst station,"" and he"
"204",5230,"asked her how he could have it sent. He bowed his bandaged head"
"205",5230,"quite politely in acknowledgment of her explanation. ""To-morrow?"" he"
"206",5230,"said. ""There is no speedier delivery?"" and seemed quite disappointed"
"207",5230,"when she answered, ""No."" Was she quite sure? No man with a trap who"
"208",5230,"would go over?"
"209",5230,""
"210",5230,"Mrs. Hall, nothing loath, answered his questions and developed a"
"211",5230,"conversation. ""It's a steep road by the down, sir,"" she said in"
"212",5230,"answer to the question about a trap; and then, snatching at an"
"213",5230,"opening, said, ""It was there a carriage was upsettled, a year ago"
"214",5230,"and more. A gentleman killed, besides his coachman. Accidents, sir,"
"215",5230,"happen in a moment, don't they?"""
"216",5230,""
"217",5230,"But the visitor was not to be drawn so easily. ""They do,"" he said"
"218",5230,"through his muffler, eyeing her quietly through his impenetrable"
"219",5230,"glasses."
"220",5230,""
"221",5230,"""But they take long enough to get well, don't they? ... There was"
"222",5230,"my sister's son, Tom, jest cut his arm with a scythe, tumbled on it"
"223",5230,"in the 'ayfield, and, bless me! he was three months tied up sir."
"224",5230,"You'd hardly believe it. It's regular given me a dread of a scythe,"
"225",5230,"sir."""
"226",5230,""
"227",5230,"""I can quite understand that,"" said the visitor."
"228",5230,""
"229",5230,"""He was afraid, one time, that he'd have to have an op'ration--he"
"230",5230,"was that bad, sir."""
"231",5230,""
"232",5230,"The visitor laughed abruptly, a bark of a laugh that he seemed to"
"233",5230,"bite and kill in his mouth. ""_Was_ he?"" he said."
"234",5230,""
"235",5230,"""He was, sir. And no laughing matter to them as had the doing for"
"236",5230,"him, as I had--my sister being took up with her little ones so"
"237",5230,"much. There was bandages to do, sir, and bandages to undo. So that"
"238",5230,"if I may make so bold as to say it, sir--"""
"239",5230,""
"240",5230,"""Will you get me some matches?"" said the visitor, quite abruptly."
"241",5230,"""My pipe is out."""
"242",5230,""
"243",5230,"Mrs. Hall was pulled up suddenly. It was certainly rude of him,"
"244",5230,"after telling him all she had done. She gasped at him for a moment,"
"245",5230,"and remembered the two sovereigns. She went for the matches."
"246",5230,""
"247",5230,"""Thanks,"" he said concisely, as she put them down, and turned his"
"248",5230,"shoulder upon her and stared out of the window again. It was"
"249",5230,"altogether too discouraging. Evidently he was sensitive on the"
